Name,Scientific Name,Occurrence,Allergen Name,Alternative Allergen Name,Allergen Designation,Protein Family,Sequence Known,Allergen Stability,Nature,Properties,Purification
Alaska Pollock,Theragra chalcogramma,,Parvalbumin,,None,"EF hand calcium binding proteins, PfamPF00036; efhand.",Yes,,There is clear IgE cross-reactivity between cod and Alaska Pollack parvalbumin.  Van Do et al. (2004) [1364] report that the concentration required for obtaining 50% inhibition of IgE-binding to cod parvalbumin was 18% higher for pollack parvalbumin than Gad c 1 itself.,,"Van Do et al. (2004) [1364] report a purification of native parvalbumin by anion exchange chromatography using DEAE cellulose equilibrated with 100 mM phosphate buffer pH 5.4.  A step elution was used with 150 mM buffer and followed by size exclusion chromatography on Sephadex G-75.  Analytical RP/HPLC showed two similar peaks and SDS-PAGE showed a single band. They also expressed two DNA sequences cloned using primers from salmon and cod sequences in E. coli (one cut short by a stop codon). However, the recombinant allergens bound IgE 1000 times less strongly than the native allergens."
Persimmon,Diospyros kaki(Kaki persimmon),,,,,,,,,,
Persimmon,Diospyros kaki(Kaki persimmon),,,,,,,,,,
Cherry,Prunus avium,,,,,,,,,,
Cherry,Prunus avium,,,,,,,,,,
Cherry,Prunus avium,,Pru av 1,,Major,"Pathogenesis-related protein Bet v I family, Pfam,PF00407",Yes,,"As a consequnece of high sequence identity to other members of the Bet v 1 family IgE to Pru av 1 cross-reacts with pathogenesis related proteins from parsley, potato, soya bean, Mal d 1 from apple, and Bet v 1 from birch pollen (Scheurer et al. 1997, 1999).",,"Recombinant Pru av 1has been purified using a heterologous expression system, E. coli, as a His tag fusion portein and further purified by metal chelate affinity chromatography (Scheurer et al. 1997)."
Cherry,Prunus avium,,Pru av 2,,Major,"Thaumatin family, Pfam,PF00314",Yes,,Not known,,"Pru av 2 was purified using 0.2M sodium acetate, 1.4M sodium chloride extraction buffer containing PVP. A precipitation step followed using 80 % ammonium sulfate. The proteins were chromatographed by size exclusion (ACA 54, 100x1.6 cm) and eluted with 0.1M sodium acetate, and anion exchange (DEAE-Sepharose CL6B, 10x2 cm) and eluted with 0.03M sodium acetate (Fils-Lycaon et al. 1996)Pru av 2 was purified by reverse phase HPLC on a C8 (Hypersil WP300,, 8x250mm, 10um particle size) using 0.1% (v:v) trifluroacetic acid as the solvent and eluting the TLP with a linear gradient of propan-2-ol (0-80%, 60min, 1.0ml/min). (Insclag et al 1998)."
Cherry,Prunus avium,,Pru av 3,,Minor (Central European population) and major (Mediterranean population).,"Protease inhibitor/seed storage/LTP family, PfamPF00234",Yes,,"Sequence identity of Pru av 3 with that of almond (89%), peach Pru p 3 (87.9%) and apricot Pru ar 3 (85.7%) indicates that IgE cross-reactivity between these proteins is likely.",,"Cherry LTP purified from fruit has not been reported, but prepared using a heterologous expression system, E. coli, as a His tag fusion protein and was purified on nickel-nitrilotriacetate solid-phase (Scheurer et al. 2001)"
Cherry,Prunus avium,,Pru av 4,,Minor,"Profilin, Pfam,PF00235",Yes,,"As consequence of high sequence identities, IgE to Pru av 4 cross-reacts with the profilin from birch pollen Bet v 2 (76.1%), from celery Api g 4 (76.9%) and from tomato Lyc e 1(Scheurer et al 2001) (Westpahl et al. 2004)",,"Recombinant Pru av 4 has been purified using a heterologous expression system, E. coli, and further purified on PLP-coupled sepharose."
Bell pepper,Capsicum annuum,,,,,,,,,,
Bell pepper,Capsicum annuum,,,,,,,,,,
Bell pepper,Capsicum annuum,,Cap a 1,,Major,"Thaumatin-like proteins, PfamPF00314",Yes,,Not known,,Not described
Bell pepper,Capsicum annuum,,Cap a 2,,minor,"Profilin, Pfam,PF00235",yes,,Purified rCap a2 was able to inhibit IgE binding to rLyc e 1 (tomato profilin) by 50% (Willerroider et al. 2003) [914]Cross-reactivity was observed with rBet v2 (birch pollen profilin) (Jensen-Jarolim et al. 1998) [913]. Like other profilin allergens Cap a 2 is involved in pollen-fruit IgE cross-reactivity.,,Recombinant Cap a2 has been expressed inE. coliand purified by affinity and ion exhange chromatography (Willerroider et al. 2003) [914]
Lupin or Lupine,Lupinus Albus,,,,,,,,,,
Lupin or Lupine,Lupinus Albus,,,,,,,,,,
Lupin or Lupine,Lupinus Albus,,43 kDa Allergen,,Major,Not known,No,,"Lupin shows IgE cross-reactivity with peanuts. The reaction to peanuts is more severe than to lupin and/or other legumes. The major lupin flour allergen (molecular mass, 43 kDa) is completely inhibited in immunoblotting by peanut extracts. The 65, 38, and 13 kd lupin allergens were not inhibited.",,Not known
"Shrimp, white shrimp",Litopenaeus setiferus,,,,,,,,,,
"Shrimp, white shrimp",Litopenaeus setiferus,,,,,,,,,,
"Flax seed, linseed",Linum usitatissimum,,,,,,,,,,
"Flax seed, linseed",Linum usitatissimum,,,,,,,,,,
Pecan,Carya illinoinensis,,,,,,,,,,
Pecan,Carya illinoinensis,,,,,,,,,,
Cabbage,Brassica oleraceavar.capitata Cruciferae (Brassicaceae),,,,,,,,,,
Cabbage,Brassica oleraceavar.capitata Cruciferae (Brassicaceae),,,,,,,,,,
Egg (hen's egg),Gallus Gallus domesticus,,,,,,,,,,
Egg (hen's egg),Gallus Gallus domesticus,,,,,,,,,,
Egg (hen's egg),Gallus Gallus domesticus,,Apovitellenin I,,Minor,Very low density lipoprotein family. PfamPF05418; Apo-VLDL-II.,Yes,,Not known,,George et al. (1987) [1243] and Nimpf et al. (1988) [1535] report a purification of very low density lipoprotein II (apovitellenin I).
Egg (hen's egg),Gallus Gallus domesticus,,Apovitellenin VI,,Minor,Not known. The N-terminus of apoB contains a vitellogenin_N domainhttp://www.sanger.ac.uk//cgi-bin/Pfam/getacc?PF01347.,A fragment of apoB has been deposited. The chicken genome contains a related 4204 amino acid predicted sequence which probably corresponds to complete apoB.,,Not known,,Burley and Sleight (1983) [1524] describe a purification of apovitellenin VI using gel filtration on Separose 6B in 6M urea at pH 3.3 and hydrophobic interaction chromatography.
Egg (hen's egg),Gallus Gallus domesticus,,Gal d 1,,Major,"http://www.sanger.ac.uk/cgi-bin/Pfam/getacc?PF00050, Kazal-type serine protease inhibitor domain.",Yes,,"Ovoinhibitor,P10184, is a homologue present at lower concentration in egg white and in chicken plasma which is only 46% identical in sequence. This has not been reported as an allergen in hen's egg but a homologue may be an allergen from bird's nest soup (Ou et al, 2001 [1223]; Goh et al. 2001 [1224]).",,"Roy et al. (2003) [1335] describes the simultaneous purification of lysozyme, ovalbumin, and ovomucoid from hen egg white. The crude egg white extract was passed through a cation exchanger (Streamline SP). Ovalbumin and ovomucoid did not bind and ovalbumin could be precipitated by 5% trichloroacetic acid. Ovomucoid was removed from the supernatant by precipitation with ethanol and gave a single band on Commassie blue stained SDS-PAGE.Rupa & Mine (2003) [1336] report expression and purification of recombinant ovomucoid with a histidine tag in E. coli. The antigenicity and allergenicity of recombinant ovomucoid were almost same as the native protein, which is unexpected (Matsuda et al. 1985) [1659]."
Egg (hen's egg),Gallus Gallus domesticus,,Gal d 2,,Major,Serpin family. PfamPF00079.,Yes,,Not known.,,"de Groot J and de Jongh (2003) [1239] describe a method derived from Vachier et al. (1995) [1240] and Takahashi et al. (1996) [1241]. Egg white for purification of ovalbumin was separated from egg yolk by hand using nine hen eggs less than 6-8 h old. To the total egg white fraction (about 300 ml), 600 ml of a 50 mM Tris-HCl buffer, pH 7.5, containing 10 mM Ã-mercaptoethanol was added. This solution was stirred for 6 h at 4Â°C. Subsequently, the solution was centrifuged for 30 min at 18 000 g and 4Â°C. The pellet was discarded and 1800 ml of 50 mM Tris-HCl, pH 7.5, were added carefully to the supernatant. To the diluted supernatant, 500 g of DEAE Sepharose Cl-6B (Pharmacia) were added, followed by overnight incubation at 4Â°C with gentle stirring. Next, the DEAE was collected on a glass filter, followed by extensive washing with 2.5 l of demineralized water and 2.5 l of 0.1 M NaCl successively. The protein was eluted stepwise with six subsequent volumes of 300 ml containing 0.15 M NaCl. The protein solution was concentrated using a Millipore ultrafiltration unit with a 30 kDa molecular mass cut-off membrane. The concentrated solution was dialyzed extensively against demineralized water at 4Â°C and then freeze-dried. The freeze-dried ovalbumin was stored at 40Â°C until further use. They report a yield of about 1.1 g of ovalbumin per egg and the efficiency of isolation is about 60%. A protein purity of >98% was estimated from densitometric analysis from an SDS-PAGE gel."
Egg (hen's egg),Gallus Gallus domesticus,,Gal d 3,,,PfamPF00405; Transferrin,Yes,,"IgE cross reactivity might be expected with ovotransferrins from birds as the duck protein is 80% identical to that from chicken. No cross-reactivity is expected or reported to transferrins from liver.Quirce et al. (2001) [1268] reported cross-reactivity between chicken serum albumin and ovotranferrin as ovotransferrin at high concentration partially inhibited IgE binding to chicken serum albumin in ELISA-inhibition assays. However, these proteins tend to co-purify.",,"Mizutani et al. (2004) [1248] describe the expression and purification of ovotransferrin produced at a high level using aPichia pastorisexpression system. There was a single site of glycosylation which could be trimed by Endo-H treatment to give a mass of 75925 Da.Ebbehoj et al. (1995) [1355] describe purification procedures for ovomucoid, ovotransferrin, ovalbumin, and lysozyme with less than 0.1% contaminating proteins as assessed by SDS-PAGE and crossed immunoelectrophoresis with polyclonal antibodies raised against an egg-white extract or the purified proteins."
Egg (hen's egg),Gallus Gallus domesticus,,Gal d 4,,Minor,Lysozyme family. PfamPF00062. Glycoside Hydrolase Family 22.,Yes,,Not known,,"Roy et al. (2003) [1335] describes the simultaneous purification of lysozyme, ovalbumin, and ovomucoid from hen egg white. The crude egg white extract was passed through a cation exchanger (Streamline SP). and the bound lysozyme was eluted with 5% ammonium carbonate, pH 9.0, containing 1 M NaCl after elution of avidin. Lysozyme was further purified 639-fold on dye-linked cellulose beads.Archer et al. (1990) [1362] reported one of the first successful heterologous expressions of a disulphide linked enzyme with lysozyme inAspergillus."
Egg (hen's egg),Gallus Gallus domesticus,,Gal d 5,,Minor,"Serum albumin family, PfamPF00273",Yes,,"Quirce et al. (2001) [1268] reported some cross-reactivity with Gal d 3, ovotranferrin, which at high concentration partially inhibited IgE binding to chicken serum albumin in ELISA-inhibition assays. However, it hard to purify alpha-livetin free of ovotransferrin.",,"Commercial preparations of serum albumin (alpha-livetin) often use Cohn fractionation with cold ethanol (fraction 5). The commercial material or that from Cohn fractionation is generally purified further by chromatography. Predki et al. (1992) [1405] treated fraction V powder with charcoal and fractionated twice on Sephadex G-100 in 50 mM Tris/HCl, pH 7.4."
Egg (hen's egg),Gallus Gallus domesticus,,Immunoglobulin IgY,,None,"Immunoglobulin family, PfamPF00047; ig.",Sequences will be variable around the antibody binding site. A partial sequence of chicken heavy chain is deposited and the complete chicken genome is becoming available.,,Not reported. Akita et al (1999) [1308] report that IgY does not antigenically cross-react with egg white proteins in mice.,,"Verdoliva et al. (2000) [1305] report an affinity chromatographic method for preparing IgY and review other mehods. A column with the TG19318 ligand immobilized on EmphazeTMwas equilibrated with 25 mMsodium phosphate, or Tris or Bis-Tris buffers, pH 7.0. Crude yolk extracts after water dilution protocol, were diluted with the starting buffer (Bis-Tris) to reach a final IgY concentration of 0.5 mg/ml and applied directly at a linear flow rate of 60 cm/h. After elution of unretained material, the buffer was changed to 0.1Macetic acid, to elute the adsorbed antibodies. Bound fractions were characterized in terms of IgY recovery and purity respectively by SDS-PAGE and radial immunodiffusion with a rabbit IgG. All samples showed a similar antibody purity (>95%) and the highest recovery was with 25 mM Bis-Tris pH 6.5.De Meulenaer & Huyghebaert A (2001) [1403] also review purifications."
Egg (hen's egg),Gallus Gallus domesticus,,Ovomucin,,Minor,"There are multiple domains with 2 trypsin inhibitor like cysteine rich domains, a von Willebrand factor type C domain and 4 von Willebrand factor type D domains. PfamPF01826; TIL;PF00093; VWC;PF00094; VWD. There are also other less annotated domains.",Yes  (alpha subunit). The beta subunit is a partial sequence.,,Not known,,"Itoh et al. (1987) [1378], Rabouille et al (1990) [1379] and Awade et al (1994) [1358] report purifications of ovomucin. Awade et al. suggest that it is hard to produce a soluble pure preparation and that their own preparation is contaminated by ovostatin. However. other preparations may be contaminated by lysozyme."
Lettuce,Lactuca sativa(Garden lettuce),,,,,,,,,,
Lettuce,Lactuca sativa(Garden lettuce),,,,,,,,,,
Lettuce,Lactuca sativa(Garden lettuce),,Lac s 1,,,"Protease inhibitor/seed storage/LTP family, PfamPF00234non specific lipid transfer protein (nsLTP)",N-terminal amino acid sequence (San Miguel-Moncin et al. 2003) [821],,Cross-reactive with rPru av 3 (Cherry LTP) and partial cross-reactivity withPlatanuspollen extracts (San Miguel-Moncin et al. 2003) [821].,,The allergen has not been purified.
Mustard,"Brassica nigra,Brassica juncea,Brassica hirta,Sinapis alba",,,,,,,,,,
Mustard,"Brassica nigra,Brassica juncea,Brassica hirta,Sinapis alba",,,,,,,,,,
Mustard,"Brassica nigra,Brassica juncea,Brassica hirta,Sinapis alba",,B. nigra 2S albumin,,Major,"PfamPF00234, 2S seed storage proteins",Yes,,Not known,,Allergens from this species of mustard have not been purified.
Mustard,"Brassica nigra,Brassica juncea,Brassica hirta,Sinapis alba",,Bra j 1,,Major,"PfamPF00234, 2S seed storage proteins",Yes,,See data for Sin a 1,,"In summary delipidation of crushed seeds, aqueous extraction, gel filtration (Sephadex G50) allows the separation of the 2S fraction. Ion exchange chromatography (SP-Sephadex C25) separates five isoallergenic fractions, named Bra j 1A to Bra j 1E (Gonzalez de la PeÃ±a et al, 1991 [646])."
Mustard,"Brassica nigra,Brassica juncea,Brassica hirta,Sinapis alba",,Sin a 1,,Major,"PfamPF00234, 2S seed storage proteins",Yes,,"The 2S albumins are found as seed storage proteins throughout the Cruciferae family (e.g. Brassica and Arabidopsis). ELISA inhibition experiments show that mustard can cross reacts with rape seed, which has a very similar 2S seed storage protein (Monsalve et al. 1997 [649]).",,"Purification process requires seed flour delipidation, aqueous extraction and gel filtration (Sephadex G50) to obtain the 2S fraction. Ion exchange chromatography is used next to separate isoforms (Menendez-Arias et al, 1987) [1159]."
Banana,Musa acuminata; Musa balbisiana(hybrid),,,,,,,,,,
Banana,Musa acuminata; Musa balbisiana(hybrid),,,,,,,,,,
Banana,Musa acuminata; Musa balbisiana(hybrid),,Ba 1 and Ba2,,Major,Chitin recognition proteinPfam PF00187Chitinase class IPfam PF00182,Yes (partial sequence),,"Ba 1 and Ba2 are panallergens involved in the latex-fruit syndrome. There are cross-reactions with other endochitinases of fruits such as avocado, mango, kiwi, or seeds such as chestnut (Cas s 5, 85%) (Sanchez-Monge et al. 1999 [493]; Moller et al. 1998 [115]) and latex (Alenius et al. 1996 [5]).",,"Banana furits were peeled, freeze-dried, ground and defatted with cold acetone. The residue was extracted with PBS buffer, centrifuged and dialysed against water. The protein preparation was fractionated by affinity-chromatography on a regenerated chitin column equilibrated with 20 mM Tris-HCl. Elution was performed with 20 mM sodium acetate pH 5.5 followed by 20 mM acetic acid pH 3.2 to elute the retained proteins. The later eluate was fractionated by cation exchange chromatography on a Mono S HR 5/5 column equilibrated with 10 mM sodium acetate. Elution was performed with a salt linear gradient of 0-50% of 0.5 M NaCl (Sanchez-Monge et al. 1999) [493]Pieces of fresh banana were homogenized with 30% (v/v) acetonitrile (ACN) containing 0.1% (v/v) trifluoroacetic acid (TFA). The homogenate was stirred overnight at 4Â°C and centrifuged at 5000 xgfor 30 minutes, and the supernatant was filtered through a 0.45-Âµm membrane (Millex HV; Millipore, Molsheim, France), concentrated 10-fold under vacuum, and filtered again through a 0.45-Âµm membrane (Millex HV). To remove pectin, the preparation was chromatographed in an HPLC column (ReSource RPC, 3 mL; Pharmacia, Uppsala, Sweden) by using a linear gradient of ACN (0% to 100% in 15 minutes). Banana proteins were purified by reversed phase chromatography on a ReSource RPC 3 mL column by using a linear gradient of ACN (20% to 60% in 60 minutes) in 0.1% TFA at a flow rate of 1 mL/min (Mikkola et al. 1998) [418]"
Banana,Musa acuminata; Musa balbisiana(hybrid),,Mus xp 1,,Minor,"Profilin, PfamPF00235",Yes,,"High IgE cross-reactivity of banana profilin with birch pollen profilin, Bet v 2, and latex profilin, Hev b 8, was demonstrated by immunoblot inhibition as well as EAST inhibition experiments (Reindl et al. 2002) [601]",,The recombinant banana profilin was purified by affinity chromatography using poly-(L)-proline as the solid phase and expressed inE. coli. Inhibition experiments indicated similar IgE reactivity of natural and recombinant allergen (Reindl et al. 2002) [601]
Fig,Ficus carica(Common fig),,,,,,,,,,
Fig,Ficus carica(Common fig),,,,,,,,,,
Sunflower seed,Helianthus annuum,,,,,,,,,,
Sunflower seed,Helianthus annuum,,,,,,,,,,
Sunflower seed,Helianthus annuum,,SFA-8,,None,"2S seed storage family, PFAMPF00234; tryp_alpha_amyl; 1.",Yes,,Not known,,"Kortt & Caldwell (1990) [755] purified 2S methionine-rich albumins from the seeds and the sequence was reported by Kortt et al. (1991) [98]. Kelly et al. 2000 [86]) used this method and Pandya et al. 2000 [1032] and Burnett et al. (2002) [1031] modified it as shown below.Burnett et al. (2002) [1031] ground dehusked seeds from the variety Alphasol in a blender and defatted twice with petroleum ether (60-80Â°C) at 4Â°C using a 20:1 solvent/meal ratio. The defatted meal was extracted for 2 hours at room temperature with 10 volumes of 20 mM Tris/HCl containing 0.5 M NaCl and 1 mM phenylmethylsulfinyl fluoride at pH 7.8. The slurry was centrifuged at 13500 X g at 2Â°C for 30 minutes. The supernatant was cooled to 0Â°C and cold methanol added to 60% (v/v) to precipitate globulins. This was centrifuged at 13500 X g at 2Â°C for 30 minutes. The albumins were precipitated by the addition of 3 volumes of acetone and after standing for 16 hours at -20Â°C, the precipitate was colled by centrifuging at 13500 X g at 2Â°C for 30 minutes.  The precipitate was extensively dialysed against water at 4Â°C for 48 hours using a membrane with anMrcutoff of 3,500 (Spectra/Por 3, Pierce and Warriner). The precipitate was removed by centrifuging at 13500 X g at 2Â°C for 30 minutes and the supernatant was lyophilised. The albumins SFA-7, SFA-8 and the nsLTP were separated using a Vydac 218TP1010 (250 x 10 mm) column using a 10-50 % (v/v) acetonitrile gradient made with 0.07% (v/v) trifluoracetic acid in water and 0.05% (v/v) trifluoracetic in acetonitrile. Proteins were identified by SDS-PAGE.Alcocer et al. (2002) [605] expressed the sunflower albumin SFA8 inPichia pastorisand purified it by FPLC using a heparin-sepharose column. It had the expected mass (with two extra amino acids) and CD spectra."
"Chickpea, garbanzo, bengal gram",Cicer arietinum,,,,,,,,,,
"Chickpea, garbanzo, bengal gram",Cicer arietinum,,,,,,,,,,
"Chickpea, garbanzo, bengal gram",Cicer arietinum,,11S storage protein,,,"11S seed storage globulin, cupin, PfamPF00190",No,,Not known,,"The 11S globulin has been parially purified by Sanchez-Vioque et al (1999) [720] in two forms by either alkaline extraction with sodium sulphite at pH 10.5, precipitation at pH 4.3 followed by washing with ethanol and acetone or alkaline extraction at pH 12.0 and precipitation at pH 4.3. Gel filtration showed that the extraction at pH 10.5 gave a peak at Mr of 216 kDa (compared to 61 kDa for pH 12.0).  SDS-PAGE gave a single band at 23kDa and a triplet at 35-40 kDa."
"Chickpea, garbanzo, bengal gram",Cicer arietinum,,2S albumin,,Major,,No,,Not known,,"Chickpea flour is extracted with 0.1 M borate buffer pH 8.3 (1:10 w:v). After centrifugation at 8000xg and dialysis against 25mM sodium citrate buffer pH 4.6 (1:10 v:v) and the precipitated proteins collected ('total albumins'). The extracted albumins were then lyophilised and taken up in 60% (v/v) methanol in which only the 2S albumin is soluble. Proteins soluble in the methanol were concentrated by lyophilization and then purification by ion exchange chromatography on a Mono Q HR5/5 column in 0.05M Tris-HCl, pH 8.0, and eluted with a linear 0.0-0.5M NaCl gradient (Singh et al 1988 [200]; Vioque et al 1999 [232])."
"Soybean, Soya",Glycine max,,,,,,,,,,
"Soybean, Soya",Glycine max,,,,,,,,,,
"Soybean, Soya",Glycine max,,2S Albumin,,Minor,"2S albumin family, PFAMPF00234; Tryp_alpha_amyl",Yes,,Not known,,"(Lin et al. 2004 [1077]) reported the purification of both native soybean 2S albumin from soybean and recombinant soybean albumin, rAL, fromPichia pastoris.Native soybean 2S albumin:Soybean seeds were ground into a fine powder, defatted by extraction with hexane (1:4 w/v) and dried in vacuum. Soluble proteins were extracted from 100 g of defatted soybean powder with 400 ml albumin extraction buffer (10% v/v DMSO, 0.5% v/v butan-1-ol, 100 mM KCl, 83 mM sodium acetate, pH 5.2). Following centrifugation at 6000Ãgfor 15 min, the supernatant was dialyzed against 0.5% v/v butan-1-ol, 100 mM KCl, 83 mM sodium acetate buffer, pH 5.2, lyophilised, and dissolved in distilled water (250 mg/ml). Insoluble proteins were removed by centrifugation at 6000Ãgfor 15 min and the supernatant was loaded onto a Sephacryl S-100 column (2 cmÃ55 cm, Pharmacia) run (0.5 ml/min) with the albumin extraction buffer. Fractions containing the 2S albumins (~14 kDa) were dialyzed against distilled water, lyophilised, dissolved in 20 mM Tris/HCl, pH 8.5 (20 mg/ml) and further fractionated by ion-exchange chromatography using the BioCAD perfusion chromatography system equipped with a POROS 20 HQ (4.6 mmÃ10 cm) column, eluted with a gradient of NaCl (0\Z750 mM) in 20 mM Tris/HCl, pH 8.5 at a flow rate of 5 ml/min. The peak, which was eluted at 360 mM NaCl and contained the 2S albumin, was then further purified by reversed-phase HPLC on a C18column (25 cmÃ10 mm, Phenomenex), in 0.07% (v/v) trifluoroacetic acid (TFA) in water and eluted with a linear gradient of 0\Z50%, 100% acetonitrile in 0.05% (v/v) TFA at a flow rate of 2.5 ml/min for 40 min and the purified 2S albumin eluted after 25 min. The eluted peak was lyophilised and stored at −20 Â°C.Recombinant soybean albumin:The supernatant secreted byP. pastoriswas filtered through a 0.45Âµm filter, then concentrated and salt eliminated by buffer exchange with 10 mM citric acid buffer (pH 4.3) using a Viva Flow 200 (5000 MWCO) (Vivascience, Lincoln, UK). The concentrate was loaded onto three in-series 5 ml Hi-Trap heparin columns (Amersham-Pharmacia, Uppsala, Sweden) previously equilibrated with 10 mM citric acid buffer (pH 4.3) and eluted using a step gradient of NaCl (0.2\Z1.0 M) at a flow rate of 3 ml/min. The column effluent was monitored at 280 nm. The collected fractions containing rAL were dialyzed against distilled water for 24 h at 4 Â°C. The rAL was then further purified by reversed-phase HPLC on a C8column (10 cmÃ10 mm, Varian, Walnut Creek, CA, USA), in 0.1% (v/v) formic acid in water and eluted with a linear gradient of 0\Z100% (v/v) acetonitrile in 0.1% (v/v) formic acid at a flow rate of 2.5 ml/min for 25 min. The eluted peak was lyophilised and stored at −20 Â°C."
"Soybean, Soya",Glycine max,,Beta-Conglycinin,,None,"7S Cupin, PfamPF00190",Yes,,"Not known. IgE cross-reactivity occurs between legumes, such as peanut and soybean, but it is generally not clinically significant. The 7S globulins Ara h 1 and beta-conglycinin are about 43% identical and may contribute to peanut -soya IgE cross-reactivity although the 11S family is slightly more conserved and may be more important. Beta-conglycinin and Len c 1 are more similar at 55% identity.",,"Defatted soy flour was extracted with water (1:5, w/v) by stirring for 1h at 20C. After centrifugation (10,000xg, 20 min, 20°C) and the supernatant retained. After incubation at 2°C overnight, the cold-insoluble fraction (CIF) was removed by centrifugation at 10,000xg for 30 min, 20°C. The pH of the supernatant was adjusted to pH 5.4 with 0.1M HCl and following centrifugation at 10,000xg for 20 min at 20°C, the 7S globulin precipitated by adjusting the pH to 4.8 with 1M HCl. Following dialysis against 50mM Tris-HCl, pH 7.8, containing 0.2M NaCl the crude 7S globulin was further purified by gel filtration on Sephacryl S300 (2.6x100cm column) using a flow rate of 0.4 ml/min, to remove aggregates (after Than and Shibasaki, 1976)."
"Soybean, Soya",Glycine max,,Gly m 3,,None,"Profilin, PfamPF00235",Yes,,"Recombinant Gly m 3 cross-reacted with IgE directed to birch pollen profilin (Bet v 2), and the IgE binding to Bet v 2 could be inhibited by rGly m 3. The sequence of peanut Ara h 5 is 83% identical.",,"Rihs et al. (1999) [170] expressed recombinant Gly m 3 as a maltose binding protein (MBP) fusion protein in E. coli and purified the fusion protein by affinity chromatography on amylose. The rGly m 3 was cleaved from MBP by incubation of affinity-purified fusion protein with proteinase Factor Xa (MobiTech, Goettingen, Germany)."
"Soybean, Soya",Glycine max,,Gly m 4,,None,"Bet v 1 family, PfamPF00407",Yes,,Gly m 4 cross-reacts with Bet v 1 and the main route of sensitisation to Gly m 4 is believed to be birch pollen inhalation.,,"Recombinant SAM22 was produced in E. coli and purified from the supernatant by means of chromatofocusing with an ÃKTA- FPLC system (Amersham Biosciences, Freiburg, Germany) by using a Mono P HR 5/5 column. The protein was judged better than 98% pure from silver-stained SDS-PAGE gels (Kleine-Tebbe et al. 2002) [658]."
"Soybean, Soya",Glycine max,,Gly m Bd 28k,,Major,"PfamPF00190; Cupin, 7S seed storage family",Yes,,The sequence of Bd 28K is only very distantly related to other known vicilin allergens and cross-reactivity would not be expected. The closest relatives in food plants have been reported from pumpkin (56% identity) and carrot (45% identity).,,"Gly m Bd 28K was purified from defatted soybean flakes by five purification steps, including immunoaffinity chromatography with the mAb as a ligand. The purified allergen was found to be a glycoprotein with a molecular mass of 26 kDa. During the purification process the allergen was converted to more acidic proteins with the same molecular mass, suggesting that the allergen is unstable (Tsuji et al., 1997 [211])."
"Soybean, Soya",Glycine max,,Gly m Bd 30k,,Major,"Cysteine protease C1, PfamPF00112",Yes,,"Distantly homologous to members of the cysteine proteinase family, actinidin from kiwi fruit, papain from papaya and bromelain from pineapple, but no IgE cross-reactivity has been reported.",,"Crude soya 7S was precipitated with 40% ammonium sulphate and dissolved in 35mM potassium phosphate pH 7.6 containing 0.4M NaCl and chromatographed on Sepharose 6B, and the 30 kDa allergen fractions collected and pooled. These fractions were then applied to a Con A sepharose column and the allergen eluted with 20mM alpha-methylmannose. The protein was concentrated by precipitation with 40% ammonium sulphate, disolved in a minimum quantity of 0.1M sodium phosphate pH 7.6 and dialysed to give the oligomeric allergen. To make monomers, the protein was disolved in 4% (w/v) SDS and 10mM mercaptoethanol, heated to 98C for 10 min and applied to Sephacryl S200 equilibrated in 0.1M sodium phosphate pH7.6 containing 4% (w/v) SDS and 10mM mercaptoethanol (Ogawa et al 1993 [131])."
"Soybean, Soya",Glycine max,,Glycinin,,Major,PfamPF00190; Cupin; 11S seed storage globulin,Yes,,Cross-reactions may be seen with 11S globulin allergens from other plant food species such as peanut and lupin. This results from homologous IgE epitopes although peanut allergic individuals can usually tolerate soya.,,"Defatted soy flour was extracted with water (1:5, w/v) by stirring for 1h at 20C. After centrifugation (10,000xg, 20 min, 20C) and the supernatant retained. After incubation at 2C overnight the cold-insoluble fraction (CIF) is collected by centrifugation at 10,000xg for 30 min, 20C. The CIF is dissolved in 0.1M potassium phosphate buffer (pH 7.6) and applied to a 5x20cm hydroxyapatite Ultorgel column. After washing away the unbound material, the bound fraction is eluted with a 0.1-0.75M potassium phosphate buffer (pH 7.6) gradient using a flow rate of 0.5 ml/min. Following dialysis against 50mM Tris-HCl, pH 7.8, containing 0.2mM NaCl the peak fractions are further purified by gel filtration on Sephacryl S300 (2.6x100cm column) using a flow rate of 0.4 ml/min, to remove aggregates. (after Eldridge and Wolf, 1967 [49])"
"Soybean, Soya",Glycine max,,Trypsin inhibitor,,Minor,PfamPF00197; Kunitz_legume.,Yes,,None identified.,,The inhibitors can be extracted in 1M NaCl containing 8M urea for 4h at 4Â°C. The extracts were loaded onto a Superdex 75 column to isolate the 20 kDalton protein (after Burks et al 1994 [28]).
Oyster,Crassostrea gigas,,,,,,,,,,
Oyster,Crassostrea gigas,,,,,,,,,,
